Model Accuracy,type Other Accuracy,Count Other Correct,Count Other Incorrect
1.0,0.9917355371900827,120.0,1.0
0.9996000528335571,0.9421487603305785,114.0,7.0
0.9992000460624695,0.8181818181818182,99.0,22.0
0.9992000460624695,0.9669421487603306,117.0,4.0
0.9996000528335571,0.9586776859504132,116.0,5.0
0.9068000316619873,0.35693215339233036,121.0,218.0
0.9984000325202942,1.0,121.0,0.0
1.0,0.9752066115702479,118.0,3.0
0.9996000528335571,0.9917355371900827,120.0,1.0
1.0,0.9752066115702479,118.0,3.0
1.0,0.9917355371900827,120.0,1.0
0.9992000460624695,1.0,121.0,0.0
0.9988000392913818,0.8347107438016529,101.0,20.0
1.0,0.9504132231404959,115.0,6.0
0.9996000528335571,0.9173553719008265,111.0,10.0
0.9996000528335571,0.9752066115702479,118.0,3.0
0.9996000528335571,0.9090909090909091,110.0,11.0
1.0,0.9834710743801653,119.0,2.0
0.9996000528335571,0.9421487603305785,114.0,7.0
0.9996000528335571,0.9008264462809917,109.0,12.0
0.9996000528335571,0.9669421487603306,117.0,4.0
1.0,0.9421487603305785,114.0,7.0
0.9996000528335571,0.9834710743801653,119.0,2.0
1.0,0.9669421487603306,117.0,4.0
1.0,0.9917355371900827,120.0,1.0
0.9960000514984131,0.5041322314049587,61.0,60.0
0.9984000325202942,0.9918032786885246,121.0,1.0
0.9996000528335571,0.9586776859504132,116.0,5.0
0.9996000528335571,0.9338842975206612,113.0,8.0
0.9996000528335571,0.9834710743801653,119.0,2.0
0.9996000528335571,0.9834710743801653,119.0,2.0
0.9996000528335571,0.9917355371900827,120.0,1.0
0.9956000447273254,0.5619834710743802,68.0,53.0
0.9996000528335571,0.9834710743801653,119.0,2.0
0.997200071811676,0.9603174603174603,121.0,5.0
0.9980000257492065,0.6694214876033058,81.0,40.0
0.9876000285148621,0.0,0.0,121.0
0.9996000528335571,0.8347107438016529,101.0,20.0
0.9988000392913818,0.8760330578512396,106.0,15.0
0.9992000460624695,0.9338842975206612,113.0,8.0
1.0,0.9917355371900827,120.0,1.0
0.9996000528335571,0.9338842975206612,113.0,8.0
1.0,0.9586776859504132,116.0,5.0
0.9996000528335571,0.9836065573770492,120.0,2.0
0.9996000528335571,0.9917355371900827,120.0,1.0
1.0,0.9586776859504132,116.0,5.0
0.9996000528335571,0.9917355371900827,120.0,1.0
0.9996000528335571,0.9834710743801653,119.0,2.0
1.0,0.9917355371900827,120.0,1.0
1.0,0.9752066115702479,118.0,3.0
0.9976000189781189,0.983739837398374,121.0,2.0
0.9988000392913818,0.9918032786885246,121.0,1.0
0.9996000528335571,0.9917355371900827,120.0,1.0
0.9996000528335571,0.9338842975206612,113.0,8.0
0.9932000637054443,0.3305785123966942,40.0,81.0
0.9996000528335571,0.9834710743801653,119.0,2.0
0.9984000325202942,0.8264462809917356,100.0,21.0
0.9988000392913818,0.9758064516129032,121.0,3.0
1.0,0.9917355371900827,120.0,1.0
0.9996000528335571,0.9256198347107438,112.0,9.0
1.0,0.9917355371900827,120.0,1.0
0.9996000528335571,0.9836065573770492,120.0,2.0
1.0,0.9669421487603306,117.0,4.0
0.9996000528335571,0.9338842975206612,113.0,8.0
1.0,0.9834710743801653,119.0,2.0
0.9992000460624695,0.8925619834710744,108.0,13.0
0.9984000325202942,0.7768595041322314,94.0,27.0
1.0,0.9917355371900827,120.0,1.0
0.9980000257492065,0.6033057851239669,73.0,48.0
0.9996000528335571,0.9669421487603306,117.0,4.0
0.9996000528335571,0.9586776859504132,116.0,5.0
0.9996000528335571,0.9504132231404959,115.0,6.0
0.9996000528335571,0.9669421487603306,117.0,4.0
1.0,0.9669421487603306,117.0,4.0
0.9964000582695007,0.34710743801652894,42.0,79.0
0.9996000528335571,0.8760330578512396,106.0,15.0
0.9996000528335571,0.9752066115702479,118.0,3.0
0.9996000528335571,0.9752066115702479,118.0,3.0
0.9996000528335571,0.9669421487603306,117.0,4.0
0.9996000528335571,0.9669421487603306,117.0,4.0
0.9992000460624695,0.9917355371900827,120.0,1.0
0.9780000448226929,0.0,0.0,194.0
0.9992000460624695,0.9836065573770492,120.0,2.0
0.9992000460624695,0.9918032786885246,121.0,1.0
0.9996000528335571,0.9917355371900827,120.0,1.0
0.9996000528335571,0.9504132231404959,115.0,6.0
0.9996000528335571,0.9586776859504132,116.0,5.0
0.9996000528335571,0.9008264462809917,109.0,12.0
0.9996000528335571,0.8760330578512396,106.0,15.0
1.0,0.9834710743801653,119.0,2.0
1.0,0.9917355371900827,120.0,1.0
0.9996000528335571,0.9752066115702479,118.0,3.0
0.9992000460624695,0.9836065573770492,120.0,2.0
0.9992000460624695,0.8512396694214877,103.0,18.0
1.0,0.9834710743801653,119.0,2.0
0.997200071811676,0.983739837398374,121.0,2.0
1.0,0.9834710743801653,119.0,2.0
0.9492000341415405,0.5340909090909091,94.0,82.0
0.9996000528335571,0.9917355371900827,120.0,1.0
0.9996000528335571,0.9752066115702479,118.0,3.0
